Date,NSA Value
2011-07-31,164.12032369
2011-08-31,164.11033227
2011-09-30,163.33836947
2011-10-31,162.15878897
2011-11-30,161.24876943
2011-12-31,160.88784427
2012-01-31,160.97969781
2012-02-29,161.49031106
2012-03-31,162.51956149
2012-04-30,163.97789698
2012-05-31,165.39051439
2012-06-30,166.37116916
2012-07-31,166.81616569
2012-08-31,166.86611619
2012-09-30,166.70196267
2012-10-31,166.3482685
2012-11-30,165.93991541
2012-12-31,165.66964687
2013-01-31,165.68583239
2013-02-28,166.12059164
2013-03-31,167.18396374
2013-04-30,168.94172977
2013-05-31,170.84809778
2013-06-30,172.33718241
2013-07-31,173.34942447
2013-08-31,173.96402363
2013-09-30,174.11926902
2013-10-31,173.84945504
2013-11-30,173.5124177
2013-12-31,173.29546322
2014-01-31,173.3075556
2014-02-28,173.78822879
2014-03-31,174.7297874
2014-04-30,175.95944203
2014-05-31,177.28549843
2014-06-30,178.36795471
2014-07-31,178.99525404
2014-08-31,179.29554505
2014-09-30,179.5349636
2014-10-31,179.9270596
2014-11-30,180.2915625
2014-12-31,180.37351272
2015-01-31,180.29442609
2015-02-28,180.2587867
2015-03-31,180.65440772
2015-04-30,181.75139354
2015-05-31,183.45681967
2015-06-30,185.34016847
2015-07-31,186.71534175
2015-08-31,187.01796786
2015-09-30,186.37135226
2015-10-31,185.33304539
2015-11-30,184.24156717
2015-12-31,183.4182056
2016-01-31,183.13942953
2016-02-29,183.43743637
2016-03-31,184.19814431
2016-04-30,185.14120121
2016-05-31,185.92958058
2016-06-30,186.6318234
2016-07-31,187.36316834
2016-08-31,187.94027471
2016-09-30,187.97916384
2016-10-31,187.2443711
2016-11-30,186.14389788
2016-12-31,185.35276907
2017-01-31,185.27125082
2017-02-28,185.95879563
2017-03-31,187.16083399
2017-04-30,188.59560143
2017-05-31,190.03293305
2017-06-30,191.12730442
2017-07-31,191.66662853
2017-08-31,191.8475139
2017-09-30,192.01719021
2017-10-31,192.24205858
2017-11-30,192.4021507
2017-12-31,192.48074296
2018-01-31,192.43238067
2018-02-28,192.39261993
2018-03-31,192.86637911
2018-04-30,193.96385499
2018-05-31,195.49982271
2018-06-30,197.23000407
2018-07-31,198.75839504
2018-08-31,200.04499318
2018-09-30,201.06997906
2018-10-31,201.94531767
2018-11-30,203.00038679
2018-12-31,203.983473
